,Program,# progam,day,# week day,Time,# on that hour,mean,std
0,Educational Nuggets,12245,Monday,1753,Morning,400,63.72125348189415,32.63935001885676
1,Educational Nuggets,12245,Monday,1753,Evening,509,63.9508885471954,32.48664734006412
2,Educational Nuggets,12245,Monday,1753,Afternoon,410,66.5237165775401,34.30837333346029
3,Educational Nuggets,12245,Monday,1753,Night,434,66.0251868556701,33.896819397813054
8,Educational Nuggets,12245,Sunday,1870,Night,485,66.50164165639225,31.548580180883487
9,Educational Nuggets,12245,Sunday,1870,Morning,411,63.44300263222221,33.95015918631311
10,Educational Nuggets,12245,Sunday,1870,Evening,543,63.49179704016913,33.39895516775492
11,Educational Nuggets,12245,Sunday,1870,Afternoon,431,65.85533866666667,32.296242704430824
16,Educational Nuggets,12245,Wednesday,1746,Evening,490,67.12688729110599,33.00967022270494
17,Educational Nuggets,12245,Wednesday,1746,Afternoon,419,64.84468771555255,32.52940888782309
18,Educational Nuggets,12245,Wednesday,1746,Night,416,68.08529772727273,32.37263758508001
19,Educational Nuggets,12245,Wednesday,1746,Morning,421,65.91622891891892,33.507109739592366
24,Educational Nuggets,12245,Tuesday,1663,Morning,397,62.243112391930836,33.580770140558066
25,Educational Nuggets,12245,Tuesday,1663,Evening,434,67.39656117962467,33.8018429665
26,Educational Nuggets,12245,Tuesday,1663,Night,393,68.72516100273256,33.70841510401301
27,Educational Nuggets,12245,Tuesday,1663,Afternoon,439,66.0547193877551,32.39992845059877
32,Educational Nuggets,12245,Thursday,1634,Evening,440,62.35189743589744,34.838247183627075
33,Educational Nuggets,12245,Thursday,1634,Night,400,66.38520372702312,31.378619390771252
34,Educational Nuggets,12245,Thursday,1634,Afternoon,393,63.1093123209169,34.14321671725733
35,Educational Nuggets,12245,Thursday,1634,Morning,401,62.685142857142864,35.666296867133404
40,Educational Nuggets,12245,Saturday,1890,Night,499,65.86857855435,32.69520491496713
41,Educational Nuggets,12245,Saturday,1890,Evening,525,65.05922737306842,34.226192857212034
42,Educational Nuggets,12245,Saturday,1890,Afternoon,477,66.76705882352941,34.76282256385215
43,Educational Nuggets,12245,Saturday,1890,Morning,389,62.907333585507246,33.28031892863792
48,Educational Nuggets,12245,Friday,1689,Evening,407,63.491428571428564,32.84362416194812
49,Educational Nuggets,12245,Friday,1689,Afternoon,400,65.29196629213483,32.69863480906084
50,Educational Nuggets,12245,Friday,1689,Morning,414,63.72714285714286,33.78196642586775
51,Educational Nuggets,12245,Friday,1689,Night,468,63.94511036630952,33.35749867033523
63,Sound Waves,13928,Saturday,1902,Morning,483,64.22694731478059,32.580740535217096
