,Program,# progam,day,# week day,Time,# in hour,mean,std
0,Educational Nuggets,12245,Sunday,1870,Night,1870,66.50164165639225,31.548580180883487
1,Educational Nuggets,12245,Sunday,1870,Morning,1870,63.44300263222221,33.95015918631311
2,Educational Nuggets,12245,Sunday,1870,Afternoon,1870,65.85533866666667,32.296242704430824
3,Educational Nuggets,12245,Sunday,1870,Evening,1870,63.49179704016913,33.39895516775492
8,Educational Nuggets,12245,Monday,1753,Night,1753,66.0251868556701,33.896819397813054
9,Educational Nuggets,12245,Monday,1753,Morning,1753,63.72125348189415,32.63935001885676
10,Educational Nuggets,12245,Monday,1753,Afternoon,1753,66.5237165775401,34.30837333346029
11,Educational Nuggets,12245,Monday,1753,Evening,1753,63.9508885471954,32.48664734006412
16,Educational Nuggets,12245,Tuesday,1663,Night,1663,68.72516100273256,33.70841510401301
17,Educational Nuggets,12245,Tuesday,1663,Morning,1663,62.243112391930836,33.580770140558066
18,Educational Nuggets,12245,Tuesday,1663,Afternoon,1663,66.0547193877551,32.39992845059877
19,Educational Nuggets,12245,Tuesday,1663,Evening,1663,67.39656117962467,33.8018429665
24,Educational Nuggets,12245,Wednesday,1746,Night,1746,68.08529772727273,32.37263758508001
25,Educational Nuggets,12245,Wednesday,1746,Morning,1746,65.91622891891892,33.507109739592366
26,Educational Nuggets,12245,Wednesday,1746,Afternoon,1746,64.84468771555255,32.52940888782309
27,Educational Nuggets,12245,Wednesday,1746,Evening,1746,67.12688729110599,33.00967022270494
32,Educational Nuggets,12245,Thursday,1634,Night,1634,66.38520372702312,31.378619390771252
33,Educational Nuggets,12245,Thursday,1634,Morning,1634,62.685142857142864,35.666296867133404
34,Educational Nuggets,12245,Thursday,1634,Afternoon,1634,63.1093123209169,34.14321671725733
35,Educational Nuggets,12245,Thursday,1634,Evening,1634,62.35189743589744,34.838247183627075
40,Educational Nuggets,12245,Friday,1689,Night,1689,63.94511036630952,33.35749867033523
41,Educational Nuggets,12245,Friday,1689,Morning,1689,63.72714285714286,33.78196642586775
42,Educational Nuggets,12245,Friday,1689,Afternoon,1689,65.29196629213483,32.69863480906084
43,Educational Nuggets,12245,Friday,1689,Evening,1689,63.491428571428564,32.84362416194812
48,Educational Nuggets,12245,Saturday,1890,Night,1890,65.86857855435,32.69520491496713
49,Educational Nuggets,12245,Saturday,1890,Morning,1890,62.907333585507246,33.28031892863792
50,Educational Nuggets,12245,Saturday,1890,Afternoon,1890,66.76705882352941,34.76282256385215
51,Educational Nuggets,12245,Saturday,1890,Evening,1890,65.05922737306842,34.226192857212034
63,Sound Waves,13928,Sunday,2122,Night,2122,64.48028012492605,32.45654292450217
64,Sound Waves,13928,Sunday,2122,Morning,2122,63.58052631578947,33.48419705926973
65,Sound Waves,13928,Sunday,2122,Afternoon,2122,64.48001643192488,33.78092696561478
66,Sound Waves,13928,Sunday,2122,Evening,2122,61.94117171717171,32.72018209046531
71,Sound Waves,13928,Monday,2123,Night,2123,65.18664835164834,31.596605780039663
